epoch,train_loss,train_acc,test_acc,test_loss
1,4.605277935903714,9.333333333333334e-3,7.75e-3,4.605527629043634
2,4.604975126597271,9.333333333333334e-3,7.0e-3,4.606075362605769
3,4.604559456886784,1.1e-2,7.75e-3,4.608371407333108
4,4.6040218062361085,1.1166666666666667e-2,7.0e-3,4.612366226028269
5,4.6027181344312815,1.2166666666666666e-2,6.5e-3,4.619235459634771
6,4.602375018141168,1.2333333333333333e-2,6.5e-3,4.617935608943358
7,4.601640840378684,1.2333333333333333e-2,6.5e-3,4.621421951478924
