epoch,train_loss,train_acc,test_acc,test_loss
1,4.727392111343078,8.092938258712962e-3,7.4393108848864525e-3,4.727392794016633
2,4.727432025091508,9.789844667797937e-3,7.4393108848864525e-3,4.727392794016633
3,4.72730976736098,9.920375930035244e-3,7.4393108848864525e-3,4.727392794016633
4,4.72746396789063,1.0442500978984467e-2,7.4393108848864525e-3,4.727392794016633
5,4.727523479608131,9.267719618848714e-3,7.4393108848864525e-3,4.727392794016633
6,4.727340885482299,9.659313405560631e-3,7.4393108848864525e-3,4.727392794016633
7,4.727415526508782,1.005090719227255e-2,7.4393108848864525e-3,4.727392794016633
8,4.7277117073611175,8.615063307662185e-3,7.4393108848864525e-3,4.727392794016633
9,4.727333256006245,1.0573032241221773e-2,7.4393108848864525e-3,4.727392794016633
10,4.727588397597918,7.962406996475655e-3,7.4393108848864525e-3,4.727392794016633
11,4.727230215665016,1.161728233912022e-2,7.4393108848864525e-3,4.727392794016633
12,4.727501889364107,9.267719618848714e-3,7.4393108848864525e-3,4.727392794016633
13,4.727588621168381,8.876125832136797e-3,7.4393108848864525e-3,4.727392794016633
14,4.7277224277447525,7.701344472001044e-3,7.4393108848864525e-3,4.727392794016633
15,4.727693336909205,8.876125832136797e-3,7.4393108848864525e-3,4.727392794016633
16,4.727754675145745,9.006657094374102e-3,7.4393108848864525e-3,4.727392794016633
17,4.727435431947569,1.0834094765696384e-2,7.4393108848864525e-3,4.727392794016633
18,4.727543825797708,1.0442500978984467e-2,7.4393108848864525e-3,4.727392794016633
19,4.727560607335601,9.267719618848714e-3,7.4393108848864525e-3,4.727392794016633
20,4.727569554133692,9.528782143323327e-3,7.4393108848864525e-3,4.727392794016633
21,4.727802321284812,9.137188356611408e-3,7.4393108848864525e-3,4.727392794016633
22,4.727506941208681,9.137188356611408e-3,7.4393108848864525e-3,4.727392794016633
23,4.727769959864083,7.440281947526432e-3,7.4393108848864525e-3,4.727392794016633
24,4.727407829832998,1.0442500978984467e-2,7.4393108848864525e-3,4.727392794016633
25,4.7274959250910396,9.659313405560631e-3,7.4393108848864525e-3,4.727392794016633
26,4.727462293052365,8.354000783187574e-3,7.4393108848864525e-3,4.727392794016633
27,4.727783455166649,8.484532045424879e-3,7.4393108848864525e-3,4.727392794016633
28,4.727737308436193,9.789844667797937e-3,7.4393108848864525e-3,4.727392794016633
29,4.727648021961453,8.876125832136797e-3,7.4393108848864525e-3,4.727392794016633
30,4.727289507125928,1.1225688552408302e-2,7.4393108848864525e-3,4.727392794016633
31,4.727403080390068,9.006657094374102e-3,7.4393108848864525e-3,4.727392794016633
32,4.727440364227908,8.615063307662185e-3,7.4393108848864525e-3,4.727392794016633
33,4.727238128077554,9.789844667797937e-3,7.4393108848864525e-3,4.727392794016633
34,4.727211644925473,1.031196971674716e-2,7.4393108848864525e-3,4.727392794016633
35,4.727855361799126,1.031196971674716e-2,7.4393108848864525e-3,4.727392794016633
36,4.727911113418473,1.005090719227255e-2,7.4393108848864525e-3,4.727392794016633
37,4.728044051463605,7.048688160814515e-3,7.4393108848864525e-3,4.727392794016633
38,4.727681334066315,8.876125832136797e-3,7.4393108848864525e-3,4.727392794016633
39,4.72754061016994,9.528782143323327e-3,7.4393108848864525e-3,4.727392794016633
40,4.7275179635857505,9.789844667797937e-3,7.4393108848864525e-3,4.727392794016633
41,4.7273755169407465,9.137188356611408e-3,7.4393108848864525e-3,4.727392794016633
42,4.727565858462427,9.659313405560631e-3,7.4393108848864525e-3,4.727392794016633
43,4.727326534059149,1.0181438454509854e-2,7.4393108848864525e-3,4.727392794016633
44,4.727619395609772,1.005090719227255e-2,7.4393108848864525e-3,4.727392794016633
45,4.727473185011626,9.267719618848714e-3,7.4393108848864525e-3,4.727392794016633
46,4.727457937855114,9.920375930035244e-3,7.4393108848864525e-3,4.727392794016633
47,4.727413780253116,9.528782143323327e-3,7.4393108848864525e-3,4.727392794016633
48,4.727495702062933,1.1095157290170996e-2,7.4393108848864525e-3,4.727392794016633
49,4.727509944060923,1.0573032241221773e-2,7.4393108848864525e-3,4.727392794016633
50,4.727505795561908,9.267719618848714e-3,7.4393108848864525e-3,4.727392794016633
51,4.727573920770605,9.137188356611408e-3,7.4393108848864525e-3,4.727392794016633
52,4.727639715717104,8.615063307662185e-3,7.4393108848864525e-3,4.727392794016633
53,4.727275615389007,1.0181438454509854e-2,7.4393108848864525e-3,4.727392794016633
54,4.727461448339055,9.789844667797937e-3,7.4393108848864525e-3,4.727392794016633
55,4.727460156974192,9.920375930035244e-3,7.4393108848864525e-3,4.727392794016633
56,4.727347094722328,1.0442500978984467e-2,7.4393108848864525e-3,4.727392794016633
57,4.72760080270249,1.005090719227255e-2,7.4393108848864525e-3,4.727392794016633
58,4.727982226262972,8.745594569899491e-3,7.4393108848864525e-3,4.727392794016633
