epoch,train_loss,train_acc,test_acc,test_loss
1,1.6094329792422897,0.24,0.0,0.0
2,1.6094200808831354,0.32,0.0,0.0
3,1.609411529729782,0.36,0.0,0.0
4,1.6094059660085214,0.36,0.0,0.0
5,1.6094022689199625,0.44,0.0,0.0
6,1.6093986884124518,0.44,0.0,0.0
7,1.609397018934547,0.48,0.0,0.0
8,1.6093950183574695,0.44,0.0,0.0
9,1.6093941488738288,0.44,0.0,0.0
10,1.6093923458135384,0.48,0.0,0.0
11,1.6093910981063448,0.44,0.0,0.0
12,1.6093895927641055,0.48,0.0,0.0
13,1.6093884115808421,0.48,0.0,0.0
14,1.6093873747392229,0.56,0.0,0.0
15,1.6093867760470235,0.48,0.0,0.0
16,1.609384375415071,0.48,0.0,0.0
17,1.609383817977464,0.56,0.0,0.0
18,1.6093834717023128,0.52,0.0,0.0
19,1.6093810108439468,0.56,0.0,0.0
20,1.6093805147095475,0.56,0.0,0.0
21,1.6093794413649267,0.56,0.0,0.0
22,1.6093779962412935,0.6,0.0,0.0
23,1.6093773860453116,0.52,0.0,0.0
24,1.6093753910382917,0.56,0.0,0.0
25,1.6093738913626758,0.56,0.0,0.0
26,1.609372906152927,0.56,0.0,0.0
27,1.6093725198285804,0.52,0.0,0.0
28,1.6093708224440384,0.6,0.0,0.0
29,1.6093693217392047,0.64,0.0,0.0
30,1.6093697114213812,0.64,0.0,0.0
31,1.6093670258431452,0.68,0.0,0.0
32,1.609366030233604,0.56,0.0,0.0
33,1.6093651476151636,0.64,0.0,0.0
34,1.6093637424064229,0.64,0.0,0.0
35,1.609363360996273,0.68,0.0,0.0
36,1.609361104212272,0.64,0.0,0.0
37,1.6093600374414374,0.64,0.0,0.0
38,1.6093584683422637,0.6,0.0,0.0
39,1.609357372566828,0.68,0.0,0.0
40,1.6093557054146712,0.64,0.0,0.0
41,1.6093543237051007,0.72,0.0,0.0
42,1.609353818447703,0.68,0.0,0.0
43,1.609353150698862,0.68,0.0,0.0
44,1.60935242273757,0.72,0.0,0.0
45,1.6093507601946377,0.72,0.0,0.0
46,1.6093491344548339,0.68,0.0,0.0
47,1.6093490557040508,0.64,0.0,0.0
48,1.6093474230120237,0.68,0.0,0.0
49,1.6093465010975314,0.72,0.0,0.0
50,1.6093438886038878,0.64,0.0,0.0
51,1.6093449978621874,0.6,0.0,0.0
52,1.609342861241981,0.68,0.0,0.0
53,1.6093413226322955,0.72,0.0,0.0
54,1.609340374456063,0.72,0.0,0.0
55,1.6093387040468061,0.72,0.0,0.0
56,1.6093389768017994,0.72,0.0,0.0
57,1.6093361320370825,0.68,0.0,0.0
58,1.6093354412238363,0.64,0.0,0.0
59,1.6093350610374098,0.64,0.0,0.0
60,1.609334211192599,0.72,0.0,0.0
61,1.609332013988658,0.76,0.0,0.0
62,1.6093310436778734,0.68,0.0,0.0
63,1.6093302042533864,0.72,0.0,0.0
64,1.6093281453840769,0.68,0.0,0.0
65,1.6093270035500988,0.76,0.0,0.0
66,1.6093264473122115,0.8,0.0,0.0
67,1.6093243148214476,0.72,0.0,0.0
68,1.6093233218787135,0.72,0.0,0.0
69,1.6093216895524882,0.8,0.0,0.0
70,1.609321147392972,0.76,0.0,0.0
71,1.6093200843939344,0.72,0.0,0.0
72,1.6093184109527585,0.76,0.0,0.0
73,1.6093170251334732,0.72,0.0,0.0
74,1.6093149567201113,0.8,0.0,0.0
75,1.6093137660499413,0.76,0.0,0.0
76,1.6093124727793457,0.84,0.0,0.0
77,1.6093106904251726,0.72,0.0,0.0
78,1.6093111643225368,0.68,0.0,0.0
79,1.6093097146094946,0.76,0.0,0.0
80,1.6093075202491938,0.76,0.0,0.0
81,1.6093057361981644,0.8,0.0,0.0
82,1.609304031660827,0.76,0.0,0.0
83,1.6093025260727714,0.8,0.0,0.0
84,1.609302235574841,0.76,0.0,0.0
85,1.6093006385120632,0.8,0.0,0.0
86,1.6092989282085057,0.8,0.0,0.0
87,1.609296699480524,0.76,0.0,0.0
88,1.6092966116508458,0.76,0.0,0.0
89,1.6092936772498379,0.8,0.0,0.0
90,1.609293160663018,0.72,0.0,0.0
91,1.6092913644611724,0.8,0.0,0.0
92,1.6092892503711869,0.8,0.0,0.0
93,1.6092882459077567,0.8,0.0,0.0
94,1.6092860821228967,0.8,0.0,0.0
95,1.6092860351330496,0.76,0.0,0.0
96,1.6092849569894265,0.8,0.0,0.0
97,1.6092822659573238,0.8,0.0,0.0
98,1.6092805218747825,0.76,0.0,0.0
99,1.6092787086818598,0.76,0.0,0.0
100,1.609276903585844,0.8,0.0,0.0
101,1.6092754610369198,0.8,0.0,0.0
102,1.6092740536820123,0.84,0.0,0.0
103,1.609272553658426,0.8,0.0,0.0
104,1.6092701291134832,0.8,0.0,0.0
105,1.6092698543467885,0.8,0.0,0.0
106,1.609268908989373,0.8,0.0,0.0
107,1.6092669124545995,0.88,0.0,0.0
108,1.6092639848882169,0.8,0.0,0.0
109,1.6092616499631784,0.76,0.0,0.0
110,1.6092615178870504,0.84,0.0,0.0
111,1.609260621551484,0.8,0.0,0.0
112,1.609257555245856,0.84,0.0,0.0
113,1.6092555203697207,0.84,0.0,0.0
114,1.6092536639663007,0.84,0.0,0.0
115,1.6092524309601286,0.8,0.0,0.0
116,1.609252144707848,0.8,0.0,0.0
117,1.609248592724179,0.84,0.0,0.0
118,1.6092474934510486,0.92,0.0,0.0
119,1.6092461766060637,0.84,0.0,0.0
120,1.609241013358688,0.88,0.0,0.0
121,1.6092414482778745,0.88,0.0,0.0
122,1.6092401515014587,0.88,0.0,0.0
123,1.6092384470195191,0.84,0.0,0.0
124,1.6092379719600312,0.84,0.0,0.0
125,1.6092349567938087,0.84,0.0,0.0
126,1.6092321649972112,0.88,0.0,0.0
127,1.6092313265985436,0.8,0.0,0.0
128,1.6092300765832308,0.84,0.0,0.0
129,1.609226422118264,0.88,0.0,0.0
130,1.6092252684685824,0.84,0.0,0.0
131,1.6092233601999137,0.88,0.0,0.0
132,1.6092209759966796,0.88,0.0,0.0
133,1.6092200519014659,0.88,0.0,0.0
134,1.6092178530391221,0.88,0.0,0.0
