epoch,train_loss,train_acc,test_acc,test_loss
1,4.7273477902648295,1.1225688552408302e-2,8.418167580266249e-3,4.72738986639663
2,4.727347240854334,9.920375930035244e-3,8.418167580266249e-3,4.72738986639663
3,4.7272700547990985,1.1225688552408302e-2,8.418167580266249e-3,4.72738986639663
4,4.727447011692637,1.0573032241221773e-2,8.418167580266249e-3,4.72738986639663
