epoch,train_loss,train_acc,test_acc,test_loss
1,4.605192206021285,1.0833333333333334e-2,8.75e-3,4.605247196313249
2,4.605118439469309,1.0833333333333334e-2,8.75e-3,4.605247196313249
3,4.605062564528287,1.0833333333333334e-2,8.75e-3,4.605247196313249
4,4.6050139065484705,1.0833333333333334e-2,8.75e-3,4.605247196313249
5,4.604948699122648,1.0833333333333334e-2,8.75e-3,4.605247196313249
6,4.604871481141657,1.0833333333333334e-2,8.75e-3,4.605247196313249
7,4.604766003773093,1.0e-2,8.75e-3,4.605247196313249
8,4.604613033819753,1.2333333333333333e-2,8.75e-3,4.605247196313249
