epoch,train_loss,train_acc,test_acc,test_loss
1,4.727400090400164,8.877284595300261e-3,8.725808255957042e-3,4.727491182305304
2,4.72715699901806,9.138381201044387e-3,8.725808255957042e-3,4.727491182305304
3,4.727079707902854,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
4,4.726985652381518,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
5,4.726876591831066,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
6,4.726800038149782,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
7,4.7267568188444775,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
8,4.726714924721434,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
9,4.726660709498516,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
10,4.726600032272888,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
11,4.726528275644098,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
12,4.726458588779795,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
13,4.726321041059392,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
14,4.726118279528899,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
15,4.725908697442241,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
16,4.725684847695574,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
17,4.725490478126373,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
18,4.7253716196495,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
19,4.725313204639102,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
20,4.725074949705988,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
21,4.724672381468794,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
22,4.724316563223795,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
23,4.724062535441844,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
24,4.723960962767565,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
25,4.724018216499853,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
26,4.7240363811180135,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
27,4.724107615316841,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
28,4.724320395485591,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
29,4.724667911806892,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
30,4.724856895225278,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
31,4.724792723083359,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
32,4.724360082587612,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
33,4.723707611937187,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
34,4.723072350904735,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
35,4.723202690736153,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
36,4.72374730963556,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
37,4.724376605532431,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
38,4.725281207205172,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
39,4.7257602195198425,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
40,4.725701871233683,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
41,4.725369150939146,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
42,4.725019352699504,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
43,4.724757570641808,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
44,4.724678839828779,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
45,4.724668440039682,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
46,4.724631543393623,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
47,4.724818958004291,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
48,4.725050627662771,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
49,4.7251129315960325,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
50,4.725099615548489,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
51,4.725100199901766,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
52,4.725380884389782,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
53,4.725816962647583,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
54,4.72592882862273,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
55,4.725924085895357,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
56,4.725999106702667,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
57,4.726103568997726,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
58,4.72612408375625,1.227154046997389e-2,8.725808255957042e-3,4.727491182305304
59,4.726014439976101,1.174934725848564e-2,8.725808255957042e-3,4.727491182305304
60,4.725955966754744,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
61,4.725794575726672,9.921671018276762e-3,8.725808255957042e-3,4.727491182305304
62,4.725370004602028,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
63,4.724767558859309,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
64,4.724238672769808,1.2532637075718016e-2,8.725808255957042e-3,4.727491182305304
65,4.723842471653757,1.227154046997389e-2,8.725808255957042e-3,4.727491182305304
66,4.723408597153242,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
67,4.722892679593312,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
68,4.7223604426316115,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
69,4.721820881814723,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
70,4.721263572111733,1.227154046997389e-2,8.725808255957042e-3,4.727491182305304
71,4.720711233771016,1.3054830287206266e-2,8.725808255957042e-3,4.727491182305304
72,4.720050484242381,1.3054830287206266e-2,8.725808255957042e-3,4.727491182305304
73,4.7196976600200475,1.3577023498694517e-2,8.725808255957042e-3,4.727491182305304
74,4.720001778574378,1.174934725848564e-2,8.725808255957042e-3,4.727491182305304
75,4.719900290070948,1.4360313315926894e-2,8.725808255957042e-3,4.727491182305304
76,4.720284915394722,1.3054830287206266e-2,8.725808255957042e-3,4.727491182305304
77,4.72156826931043,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
78,4.722812091701205,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
79,4.723378423233943,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
80,4.722897914115981,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
81,4.722011770834135,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
82,4.721847877433831,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
83,4.722006016006133,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
84,4.722503456426326,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
85,4.723142012168945,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
86,4.724027271782045,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
87,4.7251893967345975,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
88,4.727067540041467,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
89,4.729358112784899,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
90,4.730331343669677,1.2010443864229765e-2,8.725808255957042e-3,4.727491182305304
