epoch,train_loss,train_acc,test_acc,test_loss
1,4.729711621658852,6.788511749347258e-3,7.830853563038372e-3,4.731046326204802
2,4.73279724087405,8.877284595300261e-3,7.830853563038372e-3,4.731046326204802
3,4.732565804729856,9.921671018276762e-3,7.830853563038372e-3,4.731046326204802
4,4.731814692310856,9.138381201044387e-3,7.830853563038372e-3,4.731046326204802
5,4.735046484736987,8.616187989556136e-3,7.830853563038372e-3,4.731046326204802
6,4.734073350399406,9.921671018276762e-3,7.830853563038372e-3,4.731046326204802
7,4.734515743031418,1.0443864229765013e-2,7.830853563038372e-3,4.731046326204802
8,4.736407850773426,1.1488250652741514e-2,7.830853563038372e-3,4.731046326204802
9,4.737894968018597,9.138381201044387e-3,7.830853563038372e-3,4.731046326204802
10,4.738646934201326,8.616187989556136e-3,7.830853563038372e-3,4.731046326204802
11,4.764043119985724,1.0182767624020888e-2,7.830853563038372e-3,4.731046326204802
12,4.7432818928044425,9.399477806788513e-3,7.830853563038372e-3,4.731046326204802
13,4.741474611894032,9.399477806788513e-3,7.830853563038372e-3,4.731046326204802
14,4.767921294977384,6.266318537859008e-3,7.830853563038372e-3,4.731046326204802
15,4.745297638248246,1.0704960835509139e-2,7.830853563038372e-3,4.731046326204802
16,4.746516405175882,7.049608355091384e-3,7.830853563038372e-3,4.731046326204802
17,4.738975230243989,1.0704960835509139e-2,7.830853563038372e-3,4.731046326204802
18,4.736900274540386,7.832898172323759e-3,7.830853563038372e-3,4.731046326204802
19,4.74341665593224,9.138381201044387e-3,7.830853563038372e-3,4.731046326204802
20,4.74010273206163,7.571801566579634e-3,7.830853563038372e-3,4.731046326204802
21,4.7454301132289975,8.093994778067885e-3,7.830853563038372e-3,4.731046326204802
22,4.738215584731062,1.0704960835509139e-2,7.830853563038372e-3,4.731046326204802
23,4.7365141334892,1.0966057441253264e-2,7.830853563038372e-3,4.731046326204802
24,4.731312213358937,9.660574412532636e-3,7.830853563038372e-3,4.731046326204802
25,4.734964313608466,1.1227154046997388e-2,7.830853563038372e-3,4.731046326204802
26,4.73651254601033,1.0182767624020888e-2,7.830853563038372e-3,4.731046326204802
